tnum	10	20	30
532	739	1190	1639	2110
534	759	1178	1664	2140
536	744	1203	1649	2110
538	738	1176	1636	2112
540	733	1198	1649	2110
542	740	1188	1647	2096
544	747	1175	1637	2119
546	745	1181	1654	2144
548	748	1194	1661	3129
550	1397	2245	3063	4025
552	1372	2273	3049	3942
554	1398	2240	3145	4081
556	1427	2247	3274	4105
558	1426	2242	3133	4001
560	1396	2250	3180	4030
562	1403	2214	3065	3917
564	1366	2301	3065	3915
566	1402	2237	3125	3941
568	1393	2247	3043	3978
570	1389	2236	3120	4003
572	1401	2214	3080	4025
574	1403	2229	3131	3951
576	1382	2231	3090	3981
578	1389	2278	3136	3961
580	1398	2237	3147	4013
582	1398	2257	3158	4007
584	1375	2253	3107	3954
586	1400	1721	1662	3447
588	1359	2224	3042	4011
590	1378	2222	3156	3952
592	1369	2303	3062	3945
594	1382	2241	3069	4007
596	1378	2218	3135	3926
598	1378	2278	3056	3939
600	1381	2229	3080	4005
602	1403	2224	3117	4008
604	1406	2305	3142	4035
606	1384	2306	3082	3897
608	1418	2215	3080	3912
610	1400	2191	3070	3994
612	1429	2234	3126	4055
614	1422	2280	3098	4040
616	1382	2233	3065	4003
618	1398	2266	3053	3932
620	1360	2215	3034	3939
622	1380	2195	3032	3928
624	1402	2235	3082	3945
626	1490	2242	3090	3699
628	735	1184	1661	2133
630	732	1173	1641	2133
632	742	1188	1635	2121
634	748	1243	1654	2090
636	734	1183	1650	2104
638	731	1180	1633	2111
640	734	1176	2682	3891
642	1409	2202	3042	3917
644	1372	2225	3020	3930
646	1362	2259	3253	3934
648	1447	2229	3117	4031
650	1373	2214	3084	3949
652	1374	2247	3093	3916
654	1396	2172	3082	3909
656	1373	2215	3054	3457
658	754	1208	1659	2125
660	755	1200	1675	2141
662	750	1192	1661	2115
664	748	1174	1639	2125
666	733	1190	1647	2139
668	887	1491	2108	2729
670	884	1491	2115	2734
672	878	1497	2111	2735
674	874	1491	2116	2806
676	903	1507	2123	2735
678	891	1505	2140	3091
680	1731	2783	3994	5111
682	1655	2755	3911	5160
684	1698	2800	4018	5208
686	1693	2792	4008	5138
688	1675	2841	3945	5061
690	1651	2788	3934	5160
692	1652	2777	3966	5104
694	1606	1514	2102	2757
696	866	1508	2125	2737
698	890	1483	2098	2741
700	889	1502	2110	2733
702	889	1508	2121	2753
704	894	1517	2137	2765
706	884	1492	2092	2724
708	884	1489	2110	2753
710	883	1506	2125	2721
712	887	1496	2109	2816
714	1703	2785	4006	5191
716	1732	2782	4029	5187
718	1661	2814	3960	5101
720	1658	2786	4015	5192
722	1659	2763	3914	5109
724	1639	2811	3956	5124
726	1655	2787	3942	5141
728	1638	2786	3973	5132
730	1659	2801	3963	5125
732	1663	2793	3979	5157
734	1682	2789	4064	5151
736	1656	2794	3951	5077
738	1663	2792	3959	5132
740	1663	2768	3936	5058
742	1626	2807	3975	5204
744	1627	2795	3915	5146
746	1661	2778	3921	5088
748	1669	2740	3940	5136
750	1630	2792	3979	5172
752	1686	2847	3921	5107
754	1649	2795	3951	5117
756	1642	2815	3989	4422
758	892	1533	2150	2751
760	883	1530	2148	2721
762	901	1532	2128	2756
764	893	1502	2137	2761
766	891	1532	2154	2782
768	899	1562	3710	5151
770	1682	2846	4124	5245
772	1697	2851	4125	5342
774	1715	2908	4139	5347
776	1728	2871	4070	5254
778	1734	2870	4124	5334
780	1694	2888	4066	5277
782	1680	2914	4147	5365
784	1720	2920	4034	2828
786	903	1554	2125	2791
788	899	1500	2117	2776
790	893	1501	2119	2755
792	894	1517	2130	2734
794	865	1515	2135	2763
796	892	1485	2125	2788
798	893	1535	2140	2772
800	894	1534	2137	2740
802	888	1520	2120	2779
804	876	1507	2127	4326
806	1673	2847	4005	5191
808	1654	2840	4051	5160
810	1640	2817	4002	5134
812	1642	2817	3970	5159
814	1657	2797	4064	5166
816	1698	2792	3999	5207
818	1713	2838	4013	5162
820	1703	2814	4041	5181
822	1680	2866	2712	2750
824	892	1492	2132	2749
826	888	1513	2115	2781
828	884	1468	2121	2771
830	878	1486	2134	2743
832	885	1504	2127	2769
834	892	1504	3314	5202
836	1683	2823	3957	5063
838	1688	2817	3999	5198
840	1677	2843	4045	5192
842	1723	2789	4032	5125
844	1634	2780	3951	5131
846	1677	2806	3923	5098
848	1633	2810	3956	5169
850	1674	2868	4022	5230
852	1648	2807	3926	5127
854	1641	2792	3934	5155
856	1692	2803	3976	5130
858	1660	2841	3958	5154
860	1646	2783	4012	5130
862	1657	2779	3981	5174
